,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
425,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-4-quartos-315m2/19z3iv5,Apartamento,3458000,"R. Peixoto Gomide, Jardim América",315,4,3,-23.5613405,-46.6577446
426,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-8-quartos-1099m2/1byjbdg,Cobertura,45000000,"R. José Maria Lisboa, Jardim América",1099,8,7,-23.5643929,-46.6621759
427,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-40m2/1cxt073,Conjugado,580000,"Alameda Jaú, Jardim América",40,1,1,-23.5596585,-46.662663
428,https://loft.com.br/imovel/apartamento-rua-haddock-lobo-jardim-america-sao-paulo-1-quarto-58m2/1ehopxw,Studio,745200,"R. Haddock Lobo, Jardim América",58,1,1,-23.5598361,-46.6634918
429,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-4-quartos-493m2/1khy52h,Apartamento,7800000,"Alameda Franca, Jardim América",493,4,3,-23.5630025,-46.6622508
430,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-2-quartos-90m2/1kkzaaf,Apartamento,980000,"R. da Consolação, Jardim América",90,2,0,-23.5573903,-46.6645418
431,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-103m2/1ku6c14,Apartamento,1011235,"Alameda Itu, Jardim América",103,3,1,-23.5602755,-46.6637606
432,https://loft.com.br/imovel/apartamento-rua-haddock-lobo-jardim-america-sao-paulo-4-quartos-158m2/1lmbyns,Apartamento,2250000,"R. Haddock Lobo, Jardim América",158,4,1,-23.563529,-46.6673907
433,https://loft.com.br/imovel/apartamento-alameda-gabriel-monteiro-da-silva-jardim-america-sao-paulo-2-quartos-70m2/1mp2g36,Apartamento,2150000,"Alameda Gabriel Monteiro da Silva, Jardim América",70,2,1,-23.56196832,-46.67383858
434,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-120m2/1omixfb,Apartamento,1250000,"R. da Consolação, Jardim América",120,3,1,-23.5594957,-46.6670544
435,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-4-quartos-249m2/1pcrh97,Apartamento,3000000,"R. José Maria Lisboa, Jardim América",249,4,3,-23.5659509,-46.6604917
436,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-1-quarto-41m2/1qjg7ia,Conjugado,1007000,"Alameda Lorena, Jardim América",41,1,0,-23.5660407,-46.6631383
437,https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-2-quartos-95m2/1vibt64,Apartamento,1950000,"R. Oscar Freire, Jardim América",95,2,1,-23.567398,-46.6645021
438,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-1-quarto-98m2/4kopae,Apartamento,2290000,"Alameda Franca, Jardim América",98,1,1,-23.55855002,-46.66725
439,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-2-quartos-130m2/6ca64j,Apartamento,1700000,"R. Peixoto Gomide, Jardim América",130,2,1,-23.5649327,-46.6613882
440,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-1-quarto-40m2/72ptpe,Apartamento,640000,"Alameda Lorena, Jardim América",40,1,1,-23.5623017,-46.6675541
441,https://loft.com.br/imovel/apartamento-alameda-santos-jardim-america-sao-paulo-2-quartos-60m2/733ia8,Apartamento,790000,"Alameda Santos, Jardim América",60,2,1,-23.5569931,-46.66337
442,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-27m2/7zeyeo,Apartamento,480000,"R. da Consolação, Jardim América",27,1,1,-23.5600355,-46.6671196
443,https://loft.com.br/imovel/apartamento-alameda-ministro-rocha-azevedo-jardim-america-sao-paulo-3-quartos-160m2/8puq7b,Apartamento,2400000,"Alameda Ministro Rocha Azevedo, Jardim América",160,3,2,-23.5619977,-46.6601488
444,https://loft.com.br/imovel/apartamento-rua-barao-de-capanema-jardim-america-sao-paulo-3-quartos-254m2/d6hs8h,Apartamento,3400000,"R. Barão de Capanema, Jardim América",254,3,2,-23.5688357,-46.6643827
445,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-1-quarto-43m2/ddfzua,Conjugado,555000,"Alameda Lorena, Jardim América",43,1,1,-23.5616491,-46.6680293
446,https://loft.com.br/imovel/apartamento-rua-melo-alves-jardim-america-sao-paulo-3-quartos-121m2/gmmp09,Apartamento,1700000,"R. Melo Alves, Jardim América",121,3,1,-23.5618118,-46.6711951
447,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-132m2/hohwnm,Apartamento,1488036,"R. da Consolação, Jardim América",132,3,2,-23.5608361,-46.6684586
448,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-3-quartos-110m2/ka79hz,Apartamento,1696000,"R. Bela Cintra, Jardim América",110,3,1,-23.5641247,-46.6702225
449,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-40m2/n9nu4f,Apartamento,580000,"Alameda Jaú, Jardim América",40,1,1,-23.5596585,-46.662663
450,https://loft.com.br/imovel/apartamento-rua-padre-joao-manuel-jardim-america-sao-paulo-4-quartos-247m2/naoyf4,Apartamento,4100000,"R. Padre João Manuel, Jardim América",247,4,2,-23.5654882,-46.66586
451,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-4-quartos-303m2/ogq89l,Apartamento,4000000,"R. Peixoto Gomide, Jardim América",303,4,3,-23.5613405,-46.6577446
452,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-4-quartos-292m2/p661rh,Apartamento,1950000,"R. Bela Cintra, Jardim América",292,4,2,-23.5571951,-46.6627533
453,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-3-quartos-230m2/qiu4j,Apartamento,2300000,"Alameda Jaú, Jardim América",230,3,2,-23.5610323,-46.6608917
454,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-80m2/swvkrv,Apartamento,1092000,"Alameda Itu, Jardim América",80,3,1,-23.558547,-46.6655658
455,https://loft.com.br/imovel/apartamento-rua-padre-joao-manuel-jardim-america-sao-paulo-3-quartos-123m2/tn6ims,Apartamento,2020000,"R. Padre João Manuel, Jardim América",123,3,2,-23.562846,-46.6634413
456,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-120m2/vxvjmr,Apartamento,1350000,"R. da Consolação, Jardim América",120,3,1,-23.5594957,-46.6670544
457,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-1-quarto-70m2/w9cqnr,Apartamento,1012000,"R. Bela Cintra, Jardim América",70,1,0,-23.5578418,-46.6634164
458,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-136m2/zkvbhk,Apartamento,1790000,"Alameda Itu, Jardim América",136,3,2,-23.5597889,-46.6641258
459,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-348m2/jbl9xj,Apartamento,4200000,"Alameda Itu, Jardim América",348,3,2,-23.5621795,-46.6613182
460,https://loft.com.br/imovel/apartamento-rua-melo-alves-jardim-america-sao-paulo-2-quartos-110m2/11zf3r8,Apartamento,1960000,"R. Melo Alves, Jardim América",110,2,1,-23.5601584,-46.6693174
461,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-27m2/1qtfibd,Conjugado,480000,"R. da Consolação, Jardim América",27,1,1,-23.5600355,-46.6671196
462,https://loft.com.br/imovel/apartamento-alameda-ministro-rocha-azevedo-jardim-america-sao-paulo-2-quartos-92m2/102rtbm,Apartamento,1166000,"Alameda Ministro Rocha Azevedo, Jardim América",92,2,2,-23.5622,-46.6603542
463,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-1-quarto-28m2/10icy5e,Apartamento,460000,"Alameda Lorena, Jardim América",28,1,1,-23.5669903,-46.6622532
464,https://loft.com.br/imovel/apartamento-rua-padre-joao-manuel-jardim-america-sao-paulo-2-quartos-100m2/10xo9zz,Apartamento,1060000,"R. Padre João Manuel, Jardim América",100,2,0,-23.5645065,-46.6648778
465,https://loft.com.br/imovel/apartamento-rua-padre-joao-manuel-jardim-america-sao-paulo-4-quartos-205m2/137bnpm,Apartamento,3700000,"R. Padre João Manuel, Jardim América",205,4,4,-23.561206,-46.6613743
466,https://loft.com.br/imovel/apartamento-alameda-ministro-rocha-azevedo-jardim-america-sao-paulo-4-quartos-320m2/1426bab,Apartamento,4400000,"Alameda Ministro Rocha Azevedo, Jardim América",320,4,3,-23.563077,-46.6610724
